Query: [u'1', u'incom', u'tax', u'reduct']
1 0 5099 0 1.33349344548 0 
1 0 10020 0 1.32486592582 0 
1 0 10015 0 1.32486592582 0 
1 0 9680 0 1.32486592582 0 
1 0 9633 0 1.32486592582 0 
1 0 9553 0 1.32486592582 0 
1 0 9549 0 1.32486592582 0 
1 0 9538 0 1.32486592582 0 
1 0 9299 0 1.32486592582 0 
1 0 9155 0 1.32486592582 0 
1 0 9081 0 1.32486592582 0 
1 0 9052 0 1.32486592582 0 
1 0 8691 0 1.32486592582 0 
1 0 8366 0 1.32486592582 0 
1 0 8265 0 1.32486592582 0 
1 0 8009 0 1.32486592582 0 
1 0 7994 0 1.32486592582 0 
1 0 7584 0 1.32486592582 0 
1 0 7535 0 1.32486592582 0 
1 0 7528 0 1.32486592582 0 
1 0 7512 0 1.32486592582 0 
1 0 7481 0 1.32486592582 0 
1 0 7149 0 1.32486592582 0 
1 0 6863 0 1.32486592582 0 
1 0 6807 0 1.32486592582 0 
1 0 6752 0 1.32486592582 0 
1 0 6738 0 1.32486592582 0 
1 0 6132 0 1.32486592582 0 
1 0 6127 0 1.32486592582 0 
1 0 6026 0 1.32486592582 0 
1 0 6024 0 1.32486592582 0 
1 0 6013 0 1.32486592582 0 
1 0 5923 0 1.32486592582 0 
1 0 5653 0 1.32486592582 0 
1 0 5538 0 1.32486592582 0 
1 0 5074 0 1.32486592582 0 
1 0 5031 0 1.32486592582 0 
1 0 5001 0 1.32486592582 0 
1 0 10021 0 1.21041093737 0 
1 0 10004 0 1.21041093737 0 
1 0 9945 0 1.21041093737 0 
1 0 9943 0 1.21041093737 0 
1 0 9881 0 1.21041093737 0 
1 0 9822 0 1.21041093737 0 
1 0 9803 0 1.21041093737 0 
1 0 9587 0 1.21041093737 0 
1 0 9577 0 1.21041093737 0 
1 0 9542 0 1.21041093737 0 
1 0 9414 0 1.21041093737 0 
1 0 9386 0 1.21041093737 0 
1 0 9383 0 1.21041093737 0 
1 0 9316 0 1.21041093737 0 
1 0 9310 0 1.21041093737 0 
1 0 9308 0 1.21041093737 0 
1 0 9296 0 1.21041093737 0 
1 0 9124 0 1.21041093737 0 
1 0 9113 0 1.21041093737 0 
1 0 9094 0 1.21041093737 0 
1 0 9091 0 1.21041093737 0 
1 0 9089 0 1.21041093737 0 
1 0 9086 0 1.21041093737 0 
1 0 8758 0 1.21041093737 0 
1 0 8719 0 1.21041093737 0 
1 0 8689 0 1.21041093737 0 
1 0 8596 0 1.21041093737 0 
1 0 8588 0 1.21041093737 0 
1 0 8581 0 1.21041093737 0 
1 0 8530 0 1.21041093737 0 
1 0 8497 0 1.21041093737 0 
1 0 8496 0 1.21041093737 0 
1 0 8490 0 1.21041093737 0 
1 0 8479 0 1.21041093737 0 
1 0 8475 0 1.21041093737 0 
1 0 8474 0 1.21041093737 0 
1 0 8467 0 1.21041093737 0 
1 0 8464 0 1.21041093737 0 
1 0 8299 0 1.21041093737 0 
1 0 8290 0 1.21041093737 0 
1 0 8235 0 1.21041093737 0 
1 0 8227 0 1.21041093737 0 
1 0 8095 0 1.21041093737 0 
1 0 7990 0 1.21041093737 0 
1 0 7974 0 1.21041093737 0 
1 0 7951 0 1.21041093737 0 
1 0 7873 0 1.21041093737 0 
1 0 7852 0 1.21041093737 0 
1 0 7840 0 1.21041093737 0 
1 0 7777 0 1.21041093737 0 
1 0 7731 0 1.21041093737 0 
1 0 7727 0 1.21041093737 0 
1 0 7559 0 1.21041093737 0 
1 0 7455 0 1.21041093737 0 
1 0 7453 0 1.21041093737 0 
1 0 7413 0 1.21041093737 0 
1 0 7408 0 1.21041093737 0 
1 0 7390 0 1.21041093737 0 
1 0 7368 0 1.21041093737 0 
1 0 7349 0 1.21041093737 0 
1 0 7185 0 1.21041093737 0 
1 0 7168 0 1.21041093737 0 
1 0 7162 0 1.21041093737 0 
1 0 7160 0 1.21041093737 0 
1 0 7156 0 1.21041093737 0 
1 0 7143 0 1.21041093737 0 
1 0 7140 0 1.21041093737 0 
1 0 7138 0 1.21041093737 0 
1 0 7062 0 1.21041093737 0 
1 0 7046 0 1.21041093737 0 
1 0 7035 0 1.21041093737 0 
1 0 7025 0 1.21041093737 0 
1 0 7023 0 1.21041093737 0 
1 0 7022 0 1.21041093737 0 
1 0 6973 0 1.21041093737 0 
1 0 6957 0 1.21041093737 0 
1 0 6955 0 1.21041093737 0 
